package,build,benchmark,before_ns,after_ns,change_pct,before_B_op,after_B_op,before_allocs_op,after_allocs_op,samples_per_revision,before_min_ns,before_max_ns,after_min_ns,after_max_ns
xxh3,native,BenchmarkSum64/4,2.8785,2.8745,-0.139,0.0,0.0,0.0,0.0,6,2.877,2.881,2.873,2.879
xxh3,native,BenchmarkSum64/16,3.162,3.0995,-1.977,0.0,0.0,0.0,0.0,6,3.16,3.164,3.099,3.103
xxh3,native,BenchmarkSum64/64,5.5235,5.524,0.009,0.0,0.0,0.0,0.0,6,5.519,5.547,5.522,5.534
xxh3,native,BenchmarkSum64/256,17.81,17.88,0.393,0.0,0.0,0.0,0.0,6,17.81,17.82,17.87,17.89
xxh3,native,BenchmarkSum64/1024,41.855,41.91,0.131,0.0,0.0,0.0,0.0,6,41.81,41.87,41.88,41.95
xxh3,native,BenchmarkSum64/16384,570.9,571.2,0.053,0.0,0.0,0.0,0.0,6,570.8,571.2,571.0,572.3
xxh3,native,BenchmarkSum64/1048576,42343.5,42303.0,-0.096,0.0,0.0,0.0,0.0,6,41955.0,42552.0,41813.0,42552.0
xxh3,native,BenchmarkSum128/4,3.723,3.756,0.886,0.0,0.0,0.0,0.0,6,3.72,3.726,3.754,3.758
xxh3,native,BenchmarkSum128/16,4.7735,4.7685,-0.105,0.0,0.0,0.0,0.0,6,4.772,4.775,4.767,4.77
xxh3,native,BenchmarkSum128/64,7.4605,7.456,-0.06,0.0,0.0,0.0,0.0,6,7.458,7.677,7.455,7.458
xxh3,native,BenchmarkSum128/256,22.235,22.275,0.18,0.0,0.0,0.0,0.0,6,22.21,22.25,22.21,22.29
xxh3,native,BenchmarkSum128/1024,46.31,46.715,0.875,0.0,0.0,0.0,0.0,6,46.28,46.35,46.65,46.77
xxh3,native,BenchmarkSum128/16384,580.95,575.4,-0.955,0.0,0.0,0.0,0.0,6,580.7,581.3,575.1,575.5
xxh3,native,BenchmarkSum128/1048576,41117.5,43044.0,4.685,0.0,0.0,0.0,0.0,6,40081.0,41502.0,42318.0,43509.0
xxh3,native,BenchmarkSum64Seed/64,7.0775,7.067,-0.148,0.0,0.0,0.0,0.0,6,7.074,7.087,7.066,7.073
xxh3,native,BenchmarkSum64Seed/1024,53.2,53.365,0.31,0.0,0.0,0.0,0.0,6,53.16,53.24,53.31,53.56
xxh3,purego,BenchmarkDigestSum/Default/16/64,4.1585,4.171,0.301,0.0,0.0,0.0,0.0,6,4.157,4.174,4.167,4.174
xxh3,purego,BenchmarkDigestSum/Default/16/128,5.6625,5.6995,0.653,0.0,0.0,0.0,0.0,6,5.657,5.664,5.696,5.701
xxh3,purego,BenchmarkDigestSum/Default/64/64,6.486,6.511,0.385,0.0,0.0,0.0,0.0,6,6.482,6.49,6.506,6.515
